timestamp,value
9466860005,12
9466860010,39969
9466860015,287026
9466860020,443718
9466860025,340632
9466860030,406368
9466860035,280620
9466860040,247566
9466860045,249369
9466860050,251490
9466860055,249246
9466860060,249629
9466860065,249822
9466860070,249621
9466860075,250494
9466860080,249754
9466860085,249100
9466860090,249152
9466860095,249201
9466860100,249996
9466860105,249996
9466860110,250992
9466860115,249337
9466860120,247707
9466860125,249230
9466860130,250494
9466860135,249996
9466860140,250992
9466860145,250992
9466860150,249000
9466860155,250992
9466860160,251988
9466860165,250494
9466860170,250494
9466860175,250992
9466860180,249498
9466860185,250992
9466860190,250494
9466860195,250992
9466860200,250494
9466860205,251988
9466860210,249498
9466860215,249996
9466860220,258462
9466860225,241032
9466860230,245016
9466860235,254976
9466860240,250494
9466860245,250494
9466860250,250494
9466860255,250992
9466860260,249996
9466860265,250494
9466860270,250992
9466860275,250494
9466860280,250494
9466860285,249498
9466860290,251490
9466860295,250992
9466860300,249996
9466860305,249498
9466860310,243024
9466860315,64740
9466860320,63744
9466860325,83166
9466860330,87150
9466860335,75696
9466860340,72210
9466860345,84162
9466860350,72657
9466860355,70895
9466860360,103584
9466860365,55278
9466860370,84250
9466860375,90138
9466860380,64740
9466860385,74312
9466860390,76892
9466860395,80178
9466860400,66636
9466860405,74700
9466860410,95616
9466860415,58801
9466860420,79680
9466860425,84192
9466860430,56274
9466860435,76692
9466860440,90636
9466860445,72312
9466860450,63193
9466860455,68186
9466860460,97110
9466860465,60258
9466860470,72296
9466860475,89640
9466860480,71774
9466860485,77341
9466860490,75198
9466860495,74256
9466860500,74700
9466860505,77190
9466860510,72210
9466860515,93624
9466860520,55776
9466860525,87665
9466860530,40077
9466860535,76194
9466860540,69720
9466860545,74202
9466860550,55776
9466860555,54780
9466860560,51792
9466860565,47828
9466860570,40338
9466860575,46903
9466860580,49351
9466860585,52788
9466860590,95715
9466860595,74700
9466860600,115536
9466860605,2
9466860610,3496
9466860615,268927
9466860620,300792
9466860625,401388
9466860630,244020
9466860635,255474
9466860640,246012
9466860645,245514
9466860650,249000
9466860655,249000
9466860660,246012
9466860665,253980
9466860670,244020
9466860675,251988
9466860680,249000
9466860685,249000
9466860690,249000
9466860695,254976
9466860700,254478
9466860705,239538
9466860710,243522
9466860715,253980
9466860720,247506
9466860725,249000
9466860730,249000
9466860735,249000
9466860740,249000
9466860745,250992
9466860750,247008
9466860755,246012
9466860760,255972
9466860765,245016
9466860770,249000
9466860775,249000
9466860780,255972
9466860785,244020
9466860790,254976
9466860795,249498
9466860800,240534
9466860805,249000
9466860810,245514
9466860815,252486
9466860820,249000
9466860825,250992
9466860830,254976
9466860835,254976
9466860840,235056
9466860845,249000
9466860850,249000
