timestamp,value
9466860003,2
9466860006,10
9466860009,21343
9466860012,69800
9466860015,181270
9466860018,129480
9466860021,114540
9466860024,0
9466860027,58764
9466860030,19920
9466860033,150396
9466860036,51792
9466860039,86154
9466860042,135954
9466860045,15438
9466860048,110556
9466860051,123006
9466860054,0
9466860057,81174
9466860060,3984
9466860063,52290
9466860066,48804
9466860069,101592
9466860072,85656
9466860075,213642
9466860078,24402
9466860081,0
9466860084,0
9466860087,123006
9466860090,112050
9466860093,3486
9466860096,0
9466860099,245514
9466860102,118524
9466860105,86154
9466860108,44322
9466860111,0
9466860114,114540
9466860117,73704
9466860120,60756
9466860123,0
9466860126,184758
9466860129,76194
9466860132,47808
9466860135,0
9466860138,176292
9466860141,54282
9466860144,8466
9466860147,64740
9466860150,0
9466860153,0
9466860156,172806
9466860159,25398
9466860162,86154
9466860165,198702
9466860168,21912
9466860171,17430
9466860174,96612
9466860177,0
9466860180,113046
9466860183,73206
9466860186,79680
9466860189,0
9466860192,152886
9466860195,92628
9466860198,26892
9466860201,0
9466860204,0
9466860207,186750
9466860210,60258
9466860213,0
9466860216,142428
9466860219,0
9466860222,0
9466860225,106572
9466860228,46314
9466860231,75696
9466860234,99102
9466860237,51294
9466860240,5478
9466860243,194718
9466860246,69720
9466860249,0
9466860252,31872
9466860255,0
9466860258,197706
9466860261,48804
9466860264,90636
9466860267,79182
9466860270,48306
9466860273,46812
9466860276,144420
9466860279,64740
9466860282,62748
9466860285,111552
9466860288,70716
9466860291,3984
9466860294,84660
9466860297,43326
9466860300,37848
9466860303,94122
9466860306,38346
9466860309,0
9466860312,105078
9466860315,138444
9466860318,105576
9466860321,0
9466860324,0
9466860327,0
9466860330,0
9466860333,67728
9466860336,36852
9466860339,76692
9466860342,67728
9466860345,0
9466860348,0
9466860351,0
9466860354,0
9466860357,0
9466860360,99600
9466860363,20418
9466860366,80676
9466860369,48306
9466860372,24900
9466860375,18924
9466860378,57768
9466860381,36354
9466860384,111054
9466860387,0
9466860390,0
9466860393,16434
9466860396,20916
9466860399,46812
9466860402,103086
9466860405,61752
9466860408,0
9466860411,6474
9466860414,68226
9466860417,23406
9466860420,115536
9466860423,35358
9466860426,53286
9466860429,21414
9466860432,124500
9466860435,49800
9466860438,49800
9466860441,24900
9466860444,49800
9466860447,81672
9466860450,0
9466860453,126990
9466860456,40338
9466860459,12948
9466860462,0
9466860465,7470
9466860468,114540
9466860471,110058
9466860474,3984
9466860477,0
9466860480,0
9466860483,0
9466860486,85158
9466860489,0
9466860492,123504
9466860495,15438
9466860498,24900
9466860501,18924
9466860504,166332
9466860507,63744
9466860510,0
9466860513,0
9466860516,0
9466860519,28386
9466860522,0
9466860525,78186
9466860528,142428
9466860531,3984
9466860534,10956
9466860537,9960
9466860540,74700
9466860543,120516
9466860546,28884
9466860549,28386
9466860552,41334
9466860555,127488
9466860558,0
9466860561,47310
9466860564,16434
9466860567,7470
9466860570,28884
9466860573,86154
9466860576,83166
9466860579,31374
9466860582,0
9466860585,56772
9466860588,108066
9466860591,0
9466860594,42828
9466860597,41334
9466860600,0
9466860603,2
9466860606,0
9466860609,0
9466860612,0
9466860615,0
9466860618,0
9466860621,10
9466860624,32299
9466860627,23984
9466860630,38574
9466860633,127020
9466860636,47310
9466860639,11952
9466860642,15744
9466860645,42828
9466860648,133962
9466860651,72210
9466860654,0
9466860657,81174
9466860660,127488
9466860663,83166
9466860666,124500
9466860669,0
9466860672,31872
9466860675,80676
9466860678,125994
9466860681,42330
9466860684,0
9466860687,123504
9466860690,84660
9466860693,155874
9466860696,91632
9466860699,0
9466860702,141930
9466860705,40836
9466860708,0
9466860711,133464
9466860714,61752
9466860717,12948
9466860720,99600
9466860723,84660
9466860726,42828
9466860729,36852
9466860732,27390
9466860735,67230
9466860738,64740
9466860741,45816
9466860744,71712
9466860747,84660
9466860750,3486
9466860753,43326
9466860756,86154
9466860759,99102
9466860762,63246
9466860765,123006
9466860768,76692
9466860771,9960
9466860774,114540
9466860777,0
9466860780,78186
9466860783,96114
9466860786,47808
9466860789,26892
9466860792,24900
9466860795,49800
9466860798,31872
9466860801,92628
9466860804,106572
9466860807,100098
9466860810,111552
9466860813,60756
9466860816,69222
9466860819,18924
9466860822,45816
9466860825,161850
9466860828,22410
9466860831,0
9466860834,3486
9466860837,77190
9466860840,23406
9466860843,0
9466860846,120018
9466860849,8466
9466860852,16434
9466860855,33366
9466860858,41334
9466860861,131970
9466860864,7470
9466860867,59760
9466860870,11454
9466860873,38346
9466860876,0
9466860879,47310
9466860882,77190
9466860885,74700
9466860888,74700
9466860891,65238
9466860894,34362
9466860897,99600
9466860900,89640
9466860903,42330
9466860906,70218
9466860909,81672
9466860912,7470
9466860915,184260
9466860918,47310
9466860921,71214
9466860924,64740
9466860927,41832
9466860930,78684
9466860933,103584
9466860936,19422
9466860939,76692
9466860942,16434
9466860945,26394
9466860948,98604
9466860951,0
9466860954,42330
9466860957,32370
9466860960,74700
9466860963,14940
9466860966,84660
9466860969,0
9466860972,29382
9466860975,23406
9466860978,152388
9466860981,43326
9466860984,498
9466860987,996
9466860990,161352
9466860993,61752
9466860996,13944
9466860999,10956
9466861002,0
9466861005,0
9466861008,22908
9466861011,98604
9466861014,0
9466861017,127488
9466861020,0
9466861023,0
9466861026,0
9466861029,113046
9466861032,135954
9466861035,0
9466861038,0
9466861041,0
9466861044,0
9466861047,89142
9466861050,57270
9466861053,0
9466861056,102588
9466861059,0
9466861062,0
9466861065,0
9466861068,0
9466861071,0
9466861074,79680
9466861077,25398
9466861080,59262
9466861083,84660
9466861086,0
9466861089,0
9466861092,0
9466861095,0
9466861098,133962
9466861101,26394
9466861104,4482
9466861107,84162
9466861110,0
9466861113,0
9466861116,0
9466861119,0
9466861122,0
9466861125,19422
9466861128,129978
9466861131,18426
9466861134,81174
9466861137,0
9466861140,0
9466861143,14442
9466861146,60258
9466861149,74700
9466861152,38346
9466861155,40338
9466861158,20916
9466861161,0
9466861164,123006
9466861167,58764
9466861170,17430
9466861173,49800
9466861176,15936
9466861179,57768
9466861182,32370
9466861185,51792
9466861188,0
9466861191,72210
9466861194,18924
9466861197,0
9466861200,49800
9466861203,2
9466861206,0
9466861209,0
9466861212,0
9466861215,0
9466861218,0
9466861221,0
9466861224,10
9466861227,0
9466861230,14371
9466861233,53306
9466861236,5060
9466861239,58335
9466861242,0
9466861245,119021
9466861248,7230
9466861251,45010
9466861254,79182
9466861257,113046
9466861260,10956
9466861263,11952
9466861266,94620
9466861269,4980
9466861272,18426
9466861275,108066
9466861278,0
9466861281,0
9466861284,115536
9466861287,76194
9466861290,57270
9466861293,28884
9466861296,132468
9466861299,63744
9466861302,23904
9466861305,24900
9466861308,0
9466861311,98106
9466861314,125994
9466861317,2988
9466861320,21912
9466861323,16932
9466861326,0
9466861329,0
9466861332,174798
9466861335,57270
9466861338,11454
9466861341,40836
9466861344,56772
9466861347,139938
9466861350,0
9466861353,37350
9466861356,118026
9466861359,92628
9466861362,996
9466861365,49800
9466861368,199200
9466861371,0
9466861374,49800
9466861377,3486
9466861380,122010
9466861383,123504
9466861386,0
9466861389,99600
9466861392,37848
9466861395,84660
9466861398,26892
9466861401,23904
9466861404,19422
9466861407,100098
9466861410,84660
9466861413,49302
9466861416,0
9466861419,218124
9466861422,12450
9466861425,54780
9466861428,84660
9466861431,0
9466861434,0
9466861437,61254
9466861440,23406
9466861443,101094
9466861446,63246
9466861449,11454
9466861452,131472
9466861455,8466
9466861458,79680
9466861461,17928
9466861464,99600
9466861467,31872
9466861470,64740
9466861473,77688
9466861476,86154
9466861479,124500
9466861482,64740
9466861485,8466
9466861488,180276
9466861491,15936
9466861494,91134
9466861497,26394
9466861500,996
9466861503,166830
9466861506,31374
9466861509,68226
9466861512,125496
9466861515,5478
9466861518,62250
9466861521,52788
9466861524,118026
9466861527,94122
9466861530,170316
9466861533,100098
9466861536,124500
9466861539,9960
9466861542,170814
9466861545,0
9466861548,19422
9466861551,198204
9466861554,24900
9466861557,124998
9466861560,0
9466861563,124002
9466861566,0
9466861569,64740
9466861572,9960
9466861575,132966
9466861578,54282
9466861581,61752
9466861584,40836
9466861587,6972
9466861590,133464
9466861593,67728
9466861596,24900
9466861599,0
9466861602,12450
9466861605,161850
9466861608,71214
9466861611,3486
9466861614,0
9466861617,16434
9466861620,133962
9466861623,52290
9466861626,21414
9466861629,0
9466861632,24900
9466861635,0
9466861638,24900
9466861641,129978
9466861644,69222
9466861647,24900
9466861650,0
9466861653,174300
9466861656,65238
9466861659,9462
9466861662,26892
9466861665,49800
9466861668,147408
9466861671,0
9466861674,0
9466861677,49800
9466861680,53286
9466861683,82170
9466861686,75696
9466861689,0
9466861692,12948
9466861695,0
9466861698,35358
9466861701,39342
9466861704,51294
9466861707,98106
9466861710,0
9466861713,0
9466861716,24900
9466861719,18426
9466861722,93126
9466861725,44820
9466861728,20418
9466861731,47310
9466861734,0
9466861737,11454
9466861740,13446
9466861743,14442
9466861746,31872
9466861749,53286
9466861752,33366
9466861755,47310
9466861758,43824
9466861761,14442
9466861764,7470
9466861767,67728
9466861770,0
9466861773,58266
9466861776,74700
9466861779,26394
9466861782,0
9466861785,55776
9466861788,13944
9466861791,45318
9466861794,15438
9466861797,12948
9466861800,30876
9466861803,2
9466861806,0
9466861809,0
9466861812,0
9466861815,0
9466861818,0
9466861821,0
9466861824,0
9466861827,0
9466861830,10
9466861833,0
9466861836,0
9466861839,0
9466861842,0
9466861845,7201
9466861848,19422
9466861851,53694
9466861854,36642
9466861857,27390
9466861860,29880
9466861863,5976
9466861866,61512
9466861869,4980
9466861872,70218
9466861875,0
9466861878,15438
9466861881,63744
9466861884,24900
9466861887,39840
9466861890,34860
9466861893,8466
9466861896,117030
9466861899,48804
9466861902,24900
9466861905,8964
9466861908,77190
9466861911,39342
9466861914,77190
9466861917,46314
9466861920,0
9466861923,43824
9466861926,30876
9466861929,0
9466861932,111552
9466861935,12948
9466861938,31374
9466861941,93126
9466861944,0
9466861947,111054
9466861950,14442
9466861953,93126
9466861956,43824
9466861959,58764
9466861962,94620
9466861965,32370
9466861968,0
9466861971,49800
9466861974,44322
9466861977,69222
9466861980,85656
9466861983,24900
9466861986,13446
9466861989,36354
9466861992,11454
9466861995,38346
9466861998,53286
9466862001,35856
9466862004,60258
9466862007,49800
9466862010,12450
9466862013,135954
9466862016,90138
9466862019,10458
9466862022,46314
9466862025,168324
9466862028,34362
9466862031,0
9466862034,19422
9466862037,127488
9466862040,46812
9466862043,0
9466862046,55278
9466862049,36354
9466862052,0
9466862055,177786
9466862058,44322
9466862061,18924
9466862064,156372
9466862067,0
9466862070,31374
9466862073,57768
9466862076,71712
9466862079,65238
9466862082,76692
9466862085,85158
9466862088,74700
9466862091,108066
9466862094,16434
9466862097,56772
9466862100,20418
9466862103,30876
9466862106,98106
9466862109,34860
9466862112,80178
9466862115,5976
9466862118,46314
9466862121,185754
9466862124,63246
9466862127,0
9466862130,70218
9466862133,189738
9466862136,38844
9466862139,32370
9466862142,166830
9466862145,0
9466862148,0
9466862151,44820
9466862154,3984
9466862157,62250
9466862160,19422
9466862163,168324
9466862166,0
9466862169,0
9466862172,107070
9466862175,3984
9466862178,84162
9466862181,7968
9466862184,66732
9466862187,52788
9466862190,104082
9466862193,21912
9466862196,70218
9466862199,112050
9466862202,23406
9466862205,42828
9466862208,0
9466862211,195714
9466862214,146412
9466862217,31374
9466862220,65736
9466862223,60258
9466862226,3486
