2000-01-01 00:00:06 946684806.000000 [message] [main] Starting torctl program on host 4uthority1 process id 835
2000-01-01 00:00:06 946684806.000000 [message] [main] entering main loop to watch descriptors
2000-01-01 00:05:33 946685133.000463 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 278 81
2000-01-01 00:05:34 946685134.000589 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 278 81
2000-01-01 00:05:35 946685135.000715 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 278 81
2000-01-01 00:05:36 946685136.000841 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 278 81
2000-01-01 00:05:37 946685137.000742 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 278 81
2000-01-01 00:05:38 946685138.000868 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 278 81
2000-01-01 00:05:39 946685139.000337 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 278 81
2000-01-01 00:05:40 946685140.000463 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 278 81
2000-01-01 00:05:41 946685141.000589 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 278 81
2000-01-01 00:05:42 946685142.000715 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 278 81
2000-01-01 00:05:43 946685143.000841 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 278 81
2000-01-01 00:05:44 946685144.000967 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 278 81
2000-01-01 00:05:45 946685145.000742 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 278 81
2000-01-01 00:05:46 946685146.000868 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 278 81
2000-01-01 00:05:47 946685147.000994 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 278 81
2000-01-01 00:05:48 946685148.000337 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 278 81
2000-01-01 00:05:49 946685149.000463 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 278 81
2000-01-01 00:05:50 946685150.000589 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 278 81
2000-01-01 00:05:51 946685151.000715 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 278 81
2000-01-01 00:05:52 946685152.000841 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 278 81
2000-01-01 00:05:53 946685153.000967 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 278 81
2000-01-01 00:05:54 946685154.000093 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 278 81
2000-01-01 00:05:55 946685155.000219 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 278 81
2000-01-01 00:05:56 946685156.000742 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 278 81
2000-01-01 00:05:57 946685157.000868 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 278 81
2000-01-01 00:05:58 946685158.000994 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 278 81
