2000-01-01 00:04:21 946685061.000000 [message] [main] Starting torctl program on host relayexit1 process id 10589
2000-01-01 00:04:21 946685061.000000 [message] [main] entering main loop to watch descriptors
2000-01-01 00:04:21 946685061.000000 [info] [_torctl_activate] torctl-sent 'AUTHENTICATE'
2000-01-01 00:04:21 946685061.000000 [info] [_torctl_processLine] successfully received auth response '250 OK'
2000-01-01 00:04:21 946685061.000000 [info] [_torctl_activate] torctl-sent 'GETINFO status/bootstrap-phase'
2000-01-01 00:04:21 946685061.000000 [info] [_torctl_activate] torctl-sent 'SETEVENTS EXTENDED STATUS_CLIENT'
2000-01-01 00:12:37 946685557.519341 [message] [_torctl_processLine] torctl ready (Bootstrapped 100)
2000-01-01 00:12:37 946685557.519341 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 STATUS_CLIENT NOTICE CIRCUIT_ESTABLISHED
2000-01-01 00:12:37 946685557.519341 [info] [_torctl_activate] torctl-sent 'SETEVENTS BW'
2000-01-01 00:12:37 946685557.519341 [message] [_torctl_processLine] [torctl-log] localhost:9051 250 OK
2000-01-01 00:12:38 946685558.000345 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 3272 3460
2000-01-01 00:12:39 946685559.000193 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 2686 1647
2000-01-01 00:12:40 946685560.000832 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 1629 2675
2000-01-01 00:12:41 946685561.000354 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 1629 1647
2000-01-01 00:12:42 946685562.000876 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 1629 1647
2000-01-01 00:12:43 946685563.000866 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 1629 1647
2000-01-01 00:12:44 946685564.000866 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 0 18
2000-01-01 00:12:45 946685565.000866 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 0 13
2000-01-01 00:12:46 946685566.000866 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 0 13
2000-01-01 00:12:47 946685567.000084 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 1086 1099
2000-01-01 00:12:48 946685568.000084 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 0 18
2000-01-01 00:12:49 946685569.000067 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 1629 1642
2000-01-01 00:12:50 946685570.000067 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 0 18
2000-01-01 00:12:51 946685571.000067 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 0 13
2000-01-01 00:12:52 946685572.000182 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 1086 1099
2000-01-01 00:12:53 946685573.000293 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 2172 1647
2000-01-01 00:12:54 946685574.000283 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 543 561
2000-01-01 00:12:55 946685575.000060 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 1629 1645
2000-01-01 00:12:56 946685576.000116 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 543 18
2000-01-01 00:12:57 946685577.000572 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 2686 2187
2000-01-01 00:12:58 946685578.000008 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 543 1104
2000-01-01 00:12:59 946685579.000198 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 543 17
2000-01-01 00:13:00 946685580.000181 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 1629 1644
2000-01-01 00:13:01 946685581.000181 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 0 18
2000-01-01 00:13:02 946685582.000181 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 0 13
2000-01-01 00:13:03 946685583.000181 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 0 13
2000-01-01 00:13:04 946685584.000518 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 4315 3814
2000-01-01 00:13:05 946685585.000518 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 0 18
2000-01-01 00:13:06 946685586.000518 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 0 13
2000-01-01 00:13:07 946685587.000518 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 0 13
2000-01-01 00:13:08 946685588.000518 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 0 13
2000-01-01 00:13:09 946685589.000597 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 2172 2185
2000-01-01 00:13:10 946685590.000369 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 3229 1647
2000-01-01 00:13:11 946685591.000369 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 0 1104
2000-01-01 00:13:12 946685592.000369 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 0 15
2000-01-01 00:13:13 946685593.000369 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 0 13
2000-01-01 00:13:14 946685594.000369 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 0 13
2000-01-01 00:13:15 946685595.000100 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 3229 3271
2000-01-01 00:13:16 946685596.000100 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 0 18
2000-01-01 00:13:17 946685597.000100 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 0 13
2000-01-01 00:13:18 946685598.000100 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 0 13
2000-01-01 00:13:19 946685599.000100 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 0 13
2000-01-01 00:13:20 946685600.000543 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 543 556
2000-01-01 00:13:21 946685601.000543 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 0 16
2000-01-01 00:13:22 946685602.000767 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 3801 4328
2000-01-01 00:13:23 946685603.000813 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 43621 527230
2000-01-01 00:13:24 946685604.000049 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 484706 564
2000-01-01 00:13:25 946685605.000763 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 543 562
2000-01-01 00:13:26 946685606.000730 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 543 16
2000-01-01 00:13:27 946685607.000730 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 0 15
2000-01-01 00:13:28 946685608.000149 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 543 13
2000-01-01 00:13:29 946685609.000149 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 0 15
2000-01-01 00:13:30 946685610.000149 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 0 13
2000-01-01 00:13:31 946685611.000910 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 543 556
2000-01-01 00:13:32 946685612.000420 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 2657 1645
2000-01-01 00:13:33 946685613.000557 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 1086 561
2000-01-01 00:13:34 946685614.000681 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 2172 2189
2000-01-01 00:13:35 946685615.000209 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 543 18
2000-01-01 00:13:36 946685616.000209 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 0 15
2000-01-01 00:13:37 946685617.000209 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 0 13
2000-01-01 00:13:38 946685618.000209 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 0 13
2000-01-01 00:13:39 946685619.000209 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 0 13
2000-01-01 00:13:40 946685620.000955 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 3258 5356
2000-01-01 00:13:41 946685621.000103 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 543 18
2000-01-01 00:13:42 946685622.000247 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 543 1101
2000-01-01 00:13:43 946685623.000247 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 0 17
2000-01-01 00:13:44 946685624.000247 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 0 13
