timestamp,value
9466860003,2
9466860006,10
9466860009,0
9466860012,39969
9466860015,0
9466860018,102606
9466860021,0
9466860024,196012
9466860027,0
9466860030,34860
9466860033,25896
9466860036,169818
9466860039,0
9466860042,43824
9466860045,0
9466860048,126990
9466860051,159858
9466860054,67230
9466860057,0
9466860060,7470
9466860063,40338
9466860066,168822
9466860069,57768
9466860072,0
9466860075,91134
9466860078,7470
9466860081,225096
9466860084,0
9466860087,24900
9466860090,90138
9466860093,41832
9466860096,92130
9466860099,22908
9466860102,0
9466860105,126492
9466860108,71712
9466860111,102090
9466860114,75198
9466860117,0
9466860120,0
9466860123,146412
9466860126,52788
9466860129,23406
9466860132,0
9466860135,165336
9466860138,0
9466860141,184758
9466860144,39342
9466860147,0
9466860150,10458
9466860153,98604
9466860156,19422
9466860159,106074
9466860162,24900
9466860165,3486
9466860168,160356
9466860171,11952
9466860174,48306
9466860177,32370
9466860180,0
9466860183,216630
9466860186,16932
9466860189,3486
9466860192,180774
9466860195,22908
9466860198,24900
9466860201,24900
9466860204,69720
9466860207,132966
9466860210,15936
9466860213,91134
9466860216,138444
9466860219,49800
9466860222,63744
9466860225,26394
9466860228,84162
9466860231,24900
9466860234,49800
9466860237,0
9466860240,0
9466860243,54780
9466860246,0
9466860249,171312
9466860252,56274
9466860255,23904
9466860258,0
9466860261,152886
9466860264,0
9466860267,88644
9466860270,41832
9466860273,66732
9466860276,40836
9466860279,31374
9466860282,49800
9466860285,109560
9466860288,58266
9466860291,44322
9466860294,137448
9466860297,67230
9466860300,3486
9466860303,151392
9466860306,55776
9466860309,38346
9466860312,18426
9466860315,109560
9466860318,10956
9466860321,110058
9466860324,72708
9466860327,51792
9466860330,0
9466860333,0
9466860336,7470
9466860339,148902
9466860342,54282
9466860345,38346
9466860348,0
9466860351,74700
9466860354,74700
9466860357,0
9466860360,99600
9466860363,0
9466860366,53286
9466860369,49800
9466860372,3486
9466860375,142428
9466860378,0
9466860381,49800
9466860384,0
9466860387,49800
9466860390,0
9466860393,68226
9466860396,0
9466860399,130974
9466860402,24900
9466860405,67230
9466860408,0
9466860411,181770
9466860414,0
9466860417,49800
9466860420,199200
9466860423,0
9466860426,4482
9466860429,45318
9466860432,45816
9466860435,0
9466860438,0
9466860441,203184
9466860444,24900
9466860447,0
9466860450,0
9466860453,0
9466860456,124998
9466860459,124002
9466860462,0
9466860465,0
9466860468,6972
9466860471,29880
9466860474,87648
9466860477,0
9466860480,114540
9466860483,9960
9466860486,0
9466860489,0
9466860492,94620
9466860495,29880
9466860498,99600
9466860501,24900
9466860504,0
9466860507,0
9466860510,38346
9466860513,86154
9466860516,11454
9466860519,113046
9466860522,0
9466860525,124500
9466860528,17928
9466860531,0
9466860534,106572
9466860537,0
9466860540,49800
9466860543,0
9466860546,0
9466860549,101592
9466860552,0
9466860555,213144
9466860558,33864
9466860561,0
9466860564,0
9466860567,98604
9466860570,0
9466860573,124998
9466860576,25398
9466860579,35856
9466860582,3984
9466860585,90636
9466860588,68724
9466860591,22410
9466860594,11952
9466860597,40836
9466860600,90138
9466860603,2
9466860606,0
9466860609,0
9466860612,0
9466860615,0
9466860618,10
9466860621,0
9466860624,0
9466860627,7470
9466860630,8953
9466860633,61722
9466860636,16712
9466860639,0
9466860642,103216
9466860645,7470
9466860648,7470
9466860651,109062
9466860654,0
9466860657,0
9466860660,46812
9466860663,77688
9466860666,0
9466860669,34860
9466860672,0
9466860675,89640
9466860678,19422
9466860681,97110
9466860684,32868
9466860687,41832
9466860690,57768
9466860693,49800
9466860696,34860
9466860699,113046
9466860702,0
9466860705,51294
9466860708,32370
9466860711,42330
9466860714,0
9466860717,74700
9466860720,0
9466860723,28386
9466860726,0
9466860729,128982
9466860732,41832
9466860735,14442
9466860738,60258
9466860741,19920
9466860744,3486
9466860747,0
9466860750,150894
9466860753,13446
9466860756,61254
9466860759,124500
9466860762,36354
9466860765,13446
9466860768,110556
9466860771,83166
9466860774,30378
9466860777,0
9466860780,49302
9466860783,57270
9466860786,67728
9466860789,74700
9466860792,99600
9466860795,84162
9466860798,59262
9466860801,5976
9466860804,149400
9466860807,23904
9466860810,42828
9466860813,0
9466860816,57768
9466860819,117528
9466860822,15936
9466860825,65736
9466860828,78186
9466860831,56274
9466860834,43326
9466860837,36354
9466860840,44322
9466860843,115038
9466860846,0
9466860849,39342
9466860852,10458
9466860855,74700
9466860858,42330
9466860861,84660
9466860864,62250
9466860867,84660
9466860870,0
9466860873,0
9466860876,7470
9466860879,59760
9466860882,3486
9466860885,100098
9466860888,10956
9466860891,67230
9466860894,0
9466860897,0
9466860900,0
9466860903,49800
9466860906,46812
9466860909,102588
9466860912,22908
9466860915,26892
9466860918,0
9466860921,0
9466860924,24900
9466860927,24900
9466860930,74700
9466860933,7470
9466860936,117030
9466860939,0
9466860942,49800
9466860945,9960
9466860948,139440
9466860951,0
9466860954,49800
9466860957,26892
9466860960,0
9466860963,204180
9466860966,0
9466860969,21414
9466860972,21414
9466860975,0
9466860978,40338
9466860981,124002
9466860984,59760
9466860987,3486
9466860990,46314
9466860993,0
9466860996,57270
9466860999,0
9466861002,141930
9466861005,0
9466861008,0
9466861011,36354
9466861014,13446
9466861017,49800
9466861020,106572
9466861023,0
9466861026,42828
9466861029,0
9466861032,45318
9466861035,14442
9466861038,23406
9466861041,0
9466861044,143424
9466861047,22410
9466861050,0
9466861053,49800
9466861056,15438
9466861059,9462
9466861062,0
9466861065,42828
9466861068,0
9466861071,92130
9466861074,39342
9466861077,0
9466861080,0
9466861083,74700
9466861086,0
9466861089,29382
9466861092,58266
9466861095,86652
9466861098,49800
9466861101,83664
9466861104,34860
9466861107,0
9466861110,130476
9466861113,11454
9466861116,63246
9466861119,125496
9466861122,6972
9466861125,41832
9466861128,0
9466861131,3486
9466861134,143424
9466861137,3984
9466861140,98106
9466861143,0
9466861146,0
9466861149,125994
9466861152,51792
9466861155,26892
9466861158,44322
9466861161,103086
9466861164,92628
9466861167,46812
9466861170,34860
9466861173,57768
9466861176,32868
9466861179,80178
9466861182,107070
9466861185,33366
9466861188,37350
9466861191,59262
9466861194,0
9466861197,11454
9466861200,88644
9466861203,2
9466861206,0
9466861209,0
9466861212,10
9466861215,0
9466861218,21343
9466861221,59550
9466861224,7292
9466861227,45786
9466861230,34860
9466861233,97110
9466861236,19478
9466861239,0
9466861242,7470
9466861245,47082
9466861248,3984
9466861251,144270
9466861254,81174
9466861257,19422
9466861260,19920
9466861263,71712
9466861266,103086
9466861269,34860
9466861272,0
9466861275,0
9466861278,17430
9466861281,99600
9466861284,47808
9466861287,84162
9466861290,0
9466861293,19422
9466861296,3984
9466861299,125994
9466861302,0
9466861305,99600
9466861308,32370
9466861311,37350
9466861314,26394
9466861317,64242
9466861320,75198
9466861323,7470
9466861326,20916
9466861329,72210
9466861332,62250
9466861335,74700
9466861338,69720
9466861341,29880
9466861344,14442
9466861347,3984
9466861350,126990
9466861353,103584
9466861356,3486
9466861359,3486
9466861362,0
9466861365,177288
9466861368,0
9466861371,47310
9466861374,78684
9466861377,7968
9466861380,19422
9466861383,85656
9466861386,51792
9466861389,105078
9466861392,43326
9466861395,93624
9466861398,11952
9466861401,29382
9466861404,113046
9466861407,0
9466861410,74700
9466861413,0
9466861416,49800
9466861419,3486
9466861422,64242
9466861425,56772
9466861428,0
9466861431,35358
9466861434,39342
9466861437,28386
9466861440,43824
9466861443,4482
9466861446,97608
9466861449,0
9466861452,74700
9466861455,24900
9466861458,0
9466861461,24900
9466861464,110556
9466861467,13944
9466861470,0
9466861473,35856
9466861476,59262
9466861479,0
9466861482,158862
9466861485,36852
9466861488,18924
9466861491,13944
9466861494,0
9466861497,0
9466861500,2988
9466861503,101592
9466861506,94620
9466861509,5478
9466861512,44322
9466861515,0
9466861518,0
9466861521,0
9466861524,55776
9466861527,38844
9466861530,53784
9466861533,29382
9466861536,21414
9466861539,48306
9466861542,1494
9466861545,0
9466861548,74700
9466861551,41832
9466861554,61254
9466861557,46314
9466861560,0
9466861563,24900
9466861566,0
9466861569,0
9466861572,70716
9466861575,47808
9466861578,105576
9466861581,24900
9466861584,70716
9466861587,39342
9466861590,39342
9466861593,84660
9466861596,14940
9466861599,64740
9466861602,15936
9466861605,76194
9466861608,67230
9466861611,74700
9466861614,44322
9466861617,0
9466861620,7470
9466861623,222108
9466861626,0
9466861629,0
9466861632,199698
9466861635,49302
9466861638,0
9466861641,40836
9466861644,63744
9466861647,144420
9466861650,0
9466861653,191730
9466861656,0
9466861659,82170
9466861662,39840
9466861665,125496
9466861668,33864
9466861671,49800
9466861674,24900
9466861677,0
9466861680,0
9466861683,58764
9466861686,110058
9466861689,80178
9466861692,174300
9466861695,10956
9466861698,86652
9466861701,16434
9466861704,27390
9466861707,38844
9466861710,143424
9466861713,15438
9466861716,38346
9466861719,11454
9466861722,183762
9466861725,34860
9466861728,14940
9466861731,133962
9466861734,0
9466861737,166332
9466861740,58266
9466861743,0
9466861746,0
9466861749,100596
9466861752,22908
9466861755,81174
9466861758,158862
9466861761,0
9466861764,99600
9466861767,0
9466861770,0
9466861773,63246
9466861776,0
9466861779,19422
9466861782,169818
9466861785,46314
9466861788,3486
9466861791,77190
9466861794,0
9466861797,146412
9466861800,95118
9466861803,2
9466861806,0
9466861809,0
9466861812,0
9466861815,10
9466861818,12937
9466861821,12390
9466861824,46104
9466861827,4174
9466861830,27390
9466861833,78694
9466861836,7470
9466861839,39840
9466861842,90014
9466861845,58764
9466861848,23904
9466861851,68724
9466861854,99600
9466861857,24900
9466861860,0
9466861863,49800
9466861866,95118
9466861869,104082
9466861872,6972
9466861875,0
9466861878,136452
9466861881,51294
9466861884,0
9466861887,178782
9466861890,49800
9466861893,0
9466861896,134460
9466861899,64740
9466861902,0
9466861905,49800
9466861908,0
9466861911,124500
9466861914,0
9466861917,7470
9466861920,74700
9466861923,42330
9466861926,78684
9466861929,109560
9466861932,33864
9466861935,0
9466861938,10956
9466861941,140436
9466861944,22908
9466861947,0
9466861950,76692
9466861953,0
9466861956,77688
9466861959,46812
9466861962,24900
9466861965,0
9466861968,24900
9466861971,45318
9466861974,7968
9466861977,0
9466861980,97110
9466861983,17928
9466861986,55776
9466861989,0
9466861992,0
9466861995,34860
9466861998,0
9466862001,96612
9466862004,15936
9466862007,38844
9466862010,62748
9466862013,24900
9466862016,0
9466862019,0
9466862022,92130
9466862025,92130
9466862028,39840
9466862031,0
9466862034,0
9466862037,0
9466862040,0
9466862043,24900
9466862046,0
9466862049,0
9466862052,18924
9466862055,31374
9466862058,131472
9466862061,42330
9466862064,0
9466862067,0
9466862070,24900
9466862073,72708
9466862076,40338
9466862079,102588
9466862082,8466
9466862085,0
9466862088,7470
9466862091,17430
9466862094,3486
9466862097,32370
9466862100,91134
9466862103,32868
9466862106,64242
9466862109,0
9466862112,0
9466862115,24900
9466862118,0
9466862121,0
9466862124,56772
9466862127,23406
9466862130,3984
9466862133,0
9466862136,65238
9466862139,74700
9466862142,4482
9466862145,20418
9466862148,0
9466862151,0
9466862154,24900
9466862157,0
9466862160,65238
9466862163,91134
9466862166,42828
9466862169,0
9466862172,24900
9466862175,4980
9466862178,19920
9466862181,0
9466862184,39342
9466862187,3984
9466862190,0
9466862193,81174
9466862196,74700
9466862199,0
9466862202,24900
9466862205,0
9466862208,22908
9466862211,26892
9466862214,0
9466862217,99600
9466862220,28386
9466862223,0
9466862226,46314
9466862229,11454
9466862232,13446
9466862235,0
9466862238,13944
